Education,Experience_Years,Projects_Count,Certification,Python,JavaScript,SQL,Machine_Learning,Java,HTML_CSS,Career_Role
B.Tech,5.0,3.0,None,1.0,,0.0,,1.0,0.0,Software Engineer
B.Tech,0.0,2.0,None,1.0,1.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
MCA,1.0,4.0,,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,,3.0,Coursera,1.0,1.0,0.0,0.0,0.0,0.0,Backend Developer
B.Tech,,8.0,None,1.0,,1.0,0.0,1.0,,Full Stack Developer
,4.0,2.0,None,0.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,3.0,5.0,,1.0,0.0,1.0,,0.0,0.0,Data Analyst
B.E.,1.0,2.0,AWS,1.0,1.0,1.0,1.0,0.0,0.0,Data Scientist
B.E.,,1.0,Google,1.0,1.0,1.0,1.0,0.0,0.0,Data Scientist
M.Tech,5.0,0.0,None,1.0,0.0,1.0,1.0,0.0,0.0,Data Scientist
B.Tech,1.0,1.0,edX,1.0,1.0,0.0,,0.0,0.0,Data Scientist
MCA,1.0,1.0,None,0.0,1.0,0.0,0.0,1.0,0.0,Software Engineer
BCA,3.0,2.0,None,1.0,1.0,,,1.0,1.0,Frontend Developer
B.Tech,1.0,,None,,0.0,1.0,1.0,0.0,0.0,Data Analyst
B.Tech,1.0,4.0,edX,1.0,0.0,1.0,1.0,,1.0,Data Scientist
BCA,3.0,4.0,None,,0.0,1.0,1.0,0.0,1.0,Full Stack Developer
B.Tech,4.0,4.0,Microsoft,1.0,,1.0,0.0,1.0,0.0,Software Engineer
B.Sc.,0.0,1.0,Coursera,1.0,0.0,0.0,0.0,0.0,1.0,Data Scientist
,2.0,5.0,None,0.0,1.0,0.0,0.0,1.0,1.0,Frontend Developer
B.Tech,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
,0.0,1.0,None,0.0,1.0,0.0,1.0,0.0,,Frontend Developer
B.E.,,2.0,None,1.0,0.0,1.0,1.0,1.0,0.0,Software Engineer
B.E.,7.0,,None,0.0,1.0,1.0,0.0,1.0,0.0,Backend Developer
MCA,0.0,3.0,None,1.0,0.0,,1.0,0.0,,Machine Learning Engineer
B.E.,3.0,1.0,Coursera,1.0,1.0,1.0,1.0,1.0,,Software Engineer
B.E.,4.0,2.0,None,0.0,,1.0,0.0,1.0,1.0,Full Stack Developer
B.E.,7.0,8.0,AWS,1.0,0.0,0.0,,1.0,,Machine Learning Engineer
,0.0,0.0,edX,1.0,1.0,1.0,1.0,,0.0,Backend Developer
B.Tech,4.0,2.0,Microsoft,1.0,1.0,1.0,0.0,0.0,1.0,Backend Developer
B.Tech,4.0,5.0,Google,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
B.Tech,5.0,4.0,,1.0,0.0,1.0,1.0,0.0,1.0,Data Scientist
,2.0,4.0,None,0.0,1.0,1.0,1.0,0.0,1.0,Frontend Developer
B.Tech,6.0,,,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,6.0,1.0,None,1.0,1.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.E.,1.0,,Coursera,0.0,1.0,,0.0,0.0,1.0,Full Stack Developer
B.Tech,8.0,8.0,None,0.0,1.0,0.0,0.0,0.0,1.0,Frontend Developer
B.Tech,1.0,2.0,None,1.0,0.0,1.0,1.0,1.0,0.0,Machine Learning Engineer
,5.0,5.0,None,1.0,0.0,0.0,1.0,0.0,0.0,Data Analyst
BCA,5.0,1.0,None,1.0,1.0,1.0,0.0,0.0,1.0,Full Stack Developer
MCA,4.0,,Microsoft,1.0,,0.0,0.0,1.0,1.0,Software Engineer
B.E.,,4.0,AWS,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,,2.0,,0.0,1.0,1.0,,1.0,0.0,Software Engineer
M.Tech,4.0,3.0,None,1.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
B.Tech,0.0,,None,1.0,0.0,1.0,0.0,,1.0,Software Engineer
B.Tech,5.0,1.0,Coursera,1.0,0.0,1.0,1.0,0.0,0.0,Data Analyst
BCA,5.0,,None,1.0,0.0,1.0,1.0,0.0,0.0,Machine Learning Engineer
B.E.,4.0,,None,1.0,0.0,0.0,1.0,0.0,0.0,Machine Learning Engineer
B.Tech,1.0,1.0,None,1.0,0.0,1.0,0.0,,,Data Analyst
B.E.,3.0,5.0,None,0.0,0.0,1.0,0.0,0.0,0.0,Data Analyst
